ASNIERES
ABSCON
AGEN
AGDE
AIGUEFONDE
AIX-EN-PROVENCE 
ALBI
ALGRANGE
AMBARES-ET-LAGRAVE
ANGOULEME
ANICHE
ANNAY-SOUS-LENS
ANNEQUIN
ANNEZIN
ANTONY
ANZIN
ARMENTIERES
ARGENTEUIL
ARGENTON
ARNOUVILLE
ARPAJON
AUBAGNE
AUBERCHICOURT
AUBERVILLIERS
AUCHEL
AUDINCOURT
AUSSILLON
AVESNES-LES-AUBERT
AVION
BAGNEUX
BAGNOLET
BAPAUME
BARBEZIEUX-SAINT-HILAIRE
BAR-LE-DUC
BARLIN
BASSENS
BAZUEL
BEAUCAIRE
BEAUCHAMP
BEAUMONT-EN-CAMBRESIS
BEAUVOIS-EN-CAMBRESIS
BEDARIEUX
BEGLES
BELLAC
BERCK (A PARTIR DU 01/01/2024)
BERNAY (DATE D'APPLICATION NON ENCORE CONNUE)
BERSON
BERTRY
BESANÇON
BESSAN
BESSANCOURT
BETHUNE
BEUVRY
BEVILLERS
BEZIERS
BILLY-MONTIGNY
BIZE-MINERVOIS
BLAYE
BOBIGNY
BOËN-SUR-LIGNON
BOMPAS
BORDEAUX
BOULOGNE-SUR-MER
BOURBOURG
BOURG
BRAUD-ET-SAINT-LOUIS
BRIGNOLES
BROU-SUR-CHANTEREINE
BRUAY-LA-BUISSIERE
BRUAY-SUR L'ESCAUT
BULLY-LES-MINES
BURBURE
BUSIGNY
BUSNES (A PARTIR DU 01/01/2024)
CABESTANY
CADEROUSSE
CADILLAC
CAEN (DATE D'APPLICATION NON ENCORE CONNUE)
CALAIS
CALONNE-RICOUART
CALVISSON
CAMBLAIN-CHATELAIN (A PARTIR DU 01/01/2024)
CAMBRAI
CAMPUGNAN
CANOHES
CARCASSONNE
CARENTAN LES MARAIS
CARMAUX
CARPENTRAS
CARVIN
CASES DE PENE
CASTELNAUDARY
CASTELSARRASIN (DATE D'APPLICATION NON ENCORE CONNUE)
CASTILLON-LA-BATAILLE
CASTRES
CATILLON-SUR-SAMBRE
CATTENIERES
CAUCALIERES
CAUCHY-A-LA-TOUR
CAUDEBEC-LES-ELBEUF
CAUDRY
CAULLERY
CAUSSADE
CAUSSES-ET-VEYRAN
CAVAILLON
CAVES
CAZOULS-LES-BEZIERS
CENON
CEPOY
CERGY-PONTOISE
CHALETTE-SUR-LOING
CHALLES-LES-EAUX (1ER FEVRIER 2024)
CHAMBERY
CHAMPIGNY-SUR-MARNE
CHAMPS-SUR-MARNE
CHARLEROI
CHARTRES
CHATEAURENARD
CHATEAUROUX
CHATELDON
CHATENAY-MALABRY
CHATILLON
CHAUNY
CHELLES
CHOLET
CLAMART
CLERMONT-L'HERAULT
CLICHY
CLICHY-SOUS-BOIS
COGNAC
COLLEGIEN
COLOMBES
COMMERCY
CONDOM
CORBEIL-ESSONNES
CORMEILLES-EN-PARISIS
COUDEKERQUE-BRANCHE
COULOMMIERS
COURPIERE
COURRIERES
COURSAN
COURTRY
CREIL
CROIX
CUXAC D'AUDE
DAMMARTIN-EN-GOËLE
DAMPMART
DARNETAL
DECHY
DENAIN
DIEPPE
DIVION
DOMBASLE-SUR-MEURTHE
DOUAI
DOUCHY LES MINES
DRANCY
DUNKERQUE
EAUBONNE
ECOUEN
ELBEUF
ELEU-DIT-LEAUWETTE
ELINCOURT
ESCAUDAIN
ESCAUTPONT
ERMON
ESTAGEL
ESTEVELLES
ESTOURMEL
ETAPLES (A PARTIR DU 01/01/2024)
ETAMPES
ETAULIERS
EVIN-MALMAISON
EVRY-COURCOURONNES
EYSINES
FENAIN
FERRIERES-EN-BRIE
FLEURY D'AUDE
FLEURY-MEROGIS
FLOIRAC
FLORANGE
FLORENSAC
FONTENAY-AUX-ROSES
FONTENAY-LE-COMTE
FOURMIES
FOURS
FRANCONVILLE
FREPILLON
GABIAN
GANGES
GARDANNE
